Rank,Score,Num1,Num2,Num3,Num4,Num5,Sum,Even,Odd,Seq2,Seq3,Mod,Dup1,Dup2,Dup3,RankScore,Mean,Median
1,80.503,3,12,20,30,41,106,3,2,0,0,1,0,1,1,100.0,21.2,20
2,79.501,7,18,20,23,30,98,3,2,0,0,1,0,2,3,100.0,19.6,20
3,79.0015,5,16,18,23,35,97,2,3,0,0,1,1,2,2,100.0,19.4,18
4,79.0015,7,13,18,20,39,97,2,3,0,0,0,0,0,1,100.0,19.4,18
5,79.0015,7,13,16,20,41,97,2,3,0,0,0,1,1,2,100.0,19.4,16
6,79.0015,3,7,22,30,41,103,2,3,0,0,0,1,2,3,100.0,20.6,22
7,78.0055,3,12,25,30,41,111,2,3,0,0,0,1,2,2,100.0,22.2,25
8,78.0025,3,18,20,23,31,95,2,3,0,0,1,1,2,2,100.0,19.0,20
9,78.0025,4,7,16,29,39,95,2,3,0,0,1,1,1,3,100.0,19.0,16
10,77.503,4,13,20,29,40,106,3,2,0,0,1,1,1,2,100.0,21.2,20
11,76.504,5,12,20,33,38,108,3,2,0,0,0,0,0,0,100.0,21.6,20
12,76.5,7,11,22,28,32,100,3,2,0,0,1,1,2,3,80.0,20.0,22
13,76.5,2,12,25,28,33,100,3,2,0,0,1,1,1,1,80.0,20.0,25
14,76.0045,3,13,20,35,38,109,2,3,0,0,1,0,0,0,100.0,21.8,20
15,76.0005,7,12,21,29,32,101,2,3,0,0,1,0,0,2,80.0,20.2,21
16,76.0005,5,13,18,29,36,101,2,3,0,0,0,0,0,1,80.0,20.2,18
17,76.0005,2,16,19,23,39,99,2,3,0,0,1,1,2,2,80.0,19.8,19
18,75.508,4,13,28,30,41,116,3,2,0,0,0,0,1,1,100.0,23.2,28
19,75.501,1,7,12,38,40,98,3,2,0,0,0,1,1,2,80.0,19.6,12
20,75.501,3,15,20,22,38,98,3,2,0,0,0,1,1,1,80.0,19.6,20
21,75.501,5,14,25,28,30,102,3,2,0,0,1,1,2,2,80.0,20.4,25
22,75.501,3,10,22,29,38,102,3,2,0,0,0,1,1,3,80.0,20.4,22
23,75.0085,5,12,28,31,41,117,2,3,0,0,1,1,1,1,100.0,23.4,28
