Rank,Score,Num1,Num2,Num3,Num4,Num5,Sum,Even,Odd,Seq2,Seq3,Mod,Dup1,Dup2,Dup3,r0,r1,r2,r3,r4,r5,r6,r7,Mean,Median
1,77.503,7,18,20,28,33,106,3,2,0,0,1,1,2,2,0,0,0,3,1,0,0,1,21.2,20.0
2,77.0065,3,12,23,35,40,113,2,3,0,0,1,1,2,2,0,0,0,2,2,1,0,0,22.6,23.0
3,77.0035,4,12,19,31,41,107,2,3,0,0,1,0,0,0,0,0,0,1,0,2,1,1,21.4,19.0
4,77.0035,3,19,22,25,38,107,2,3,0,0,0,0,1,1,0,0,0,1,1,2,0,1,21.4,22.0
5,76.507,3,16,20,35,40,114,3,2,0,0,1,1,2,2,0,0,0,1,3,1,0,0,22.8,20.0
6,76.504,5,12,20,23,32,92,3,2,0,0,1,1,2,2,0,0,0,3,1,0,1,0,18.4,20.0
7,76.501,3,7,22,32,38,102,3,2,0,0,1,1,2,2,0,0,0,1,1,2,1,0,20.4,22.0
8,76.5,7,12,16,24,41,100,3,2,0,0,0,1,2,2,0,0,1,1,2,1,0,0,20.0,16.0
9,76.5,4,14,18,29,35,100,3,2,0,0,1,1,2,3,0,0,1,2,1,0,1,0,20.0,18.0
10,76.5,4,14,20,29,33,100,3,2,0,0,1,1,1,2,0,0,1,3,0,0,1,0,20.0,20.0
11,76.0045,3,12,28,31,35,109,2,3,0,0,0,0,0,0,0,0,0,1,1,2,0,1,21.8,28.0
12,76.0015,3,12,18,31,39,103,2,3,0,0,0,0,1,1,0,0,0,2,1,2,0,0,20.6,18.0
13,76.0015,4,7,16,31,39,97,2,3,0,0,0,1,2,2,0,0,0,0,3,1,1,0,19.4,16.0
14,76.0015,4,7,25,30,37,103,2,3,0,0,1,1,1,1,0,0,0,0,3,0,2,0,20.6,25.0
15,76.0005,1,12,23,25,40,101,2,3,0,0,0,1,2,2,0,0,1,2,2,0,0,0,20.2,23.0
16,76.0005,5,16,19,24,35,99,2,3,0,0,1,1,2,2,0,0,1,0,3,0,0,1,19.8,19.0
