Rank,Score,Num1,Num2,Num3,Num4,Num5,Sum,Even,Odd,Seq2,Seq3,Mod,Dup1,Dup2,Dup3,RankScore,Mean,Median
1,68.5,3,6,19,32,40,100,3,2,0,0,0,1,1,1,40.0,20.0,19
2,68.5,6,12,18,27,37,100,3,2,0,0,1,0,0,0,40.0,20.0,18
3,68.5,8,13,18,27,34,100,3,2,0,0,1,0,0,0,40.0,20.0,18
4,68.5,4,6,15,34,41,100,3,2,0,0,1,0,0,0,40.0,20.0,15
5,68.5,5,10,18,28,39,100,3,2,0,0,1,0,0,1,40.0,20.0,18
6,68.5,3,10,24,29,34,100,3,2,0,0,1,0,0,2,40.0,20.0,24
7,68.5,3,15,20,24,38,100,3,2,0,0,0,0,0,0,40.0,20.0,20
8,68.0,5,7,10,35,42,99,2,3,0,0,1,0,0,3,40.0,19.8,10
9,68.0,5,8,17,30,41,101,2,3,0,0,0,0,1,1,40.0,20.2,17
10,68.0,5,7,14,34,41,101,2,3,0,0,1,0,0,1,40.0,20.2,14
11,68.0,5,10,24,27,35,101,2,3,0,0,1,0,0,1,40.0,20.2,24
12,68.0,7,10,21,30,33,101,2,3,0,0,1,0,1,3,40.0,20.2,21
13,68.0,7,11,18,27,36,99,2,3,0,0,1,0,1,2,40.0,19.8,18
14,68.0,1,17,21,28,34,101,2,3,0,0,1,0,0,0,40.0,20.2,21
15,68.0,2,11,21,29,38,101,2,3,0,0,1,0,1,2,40.0,20.2,21
16,68.0,7,14,21,26,31,99,2,3,0,0,1,1,1,2,40.0,19.8,21
17,68.0,9,13,15,20,42,99,2,3,0,0,0,0,0,2,40.0,19.8,15
18,68.0,9,12,14,27,37,99,2,3,0,0,1,0,0,1,40.0,19.8,14
19,68.0,2,7,17,35,40,101,2,3,0,0,1,1,1,2,40.0,20.2,17
20,67.5,2,15,22,27,36,102,3,2,0,0,1,1,1,1,40.0,20.4,22
21,67.5,7,12,14,26,39,98,3,2,0,0,0,0,0,1,40.0,19.6,14
22,67.5,7,12,24,26,33,102,3,2,0,0,0,0,0,1,40.0,20.4,24
23,67.5,1,14,23,30,34,102,3,2,0,0,1,0,2,2,40.0,20.4,23
24,67.5,6,14,23,28,31,102,3,2,0,0,0,1,2,2,40.0,20.4,23
25,67.5,5,14,19,24,40,102,3,2,0,0,1,1,1,1,40.0,20.4,19
26,67.5,4,14,18,25,37,98,3,2,0,0,1,1,1,1,40.0,19.6,18
27,67.5,1,10,12,37,42,102,3,2,0,0,1,0,0,2,40.0,20.4,12
28,67.5,1,5,14,38,40,98,3,2,0,0,0,1,1,1,40.0,19.6,14
29,67.5,9,12,22,24,35,102,3,2,0,0,1,1,1,2,40.0,20.4,22
30,67.5,5,12,18,26,41,102,3,2,0,0,0,0,0,0,40.0,20.4,18
31,67.5,6,12,20,27,37,102,3,2,0,0,1,0,0,0,40.0,20.4,20
32,67.5,3,10,20,31,34,98,3,2,0,0,1,1,1,2,40.0,19.6,20
33,67.5,8,14,21,27,32,102,3,2,0,0,0,0,0,0,40.0,20.4,21
34,67.5,2,19,23,28,30,102,3,2,0,0,0,0,2,2,40.0,20.4,23
35,67.0,3,11,19,28,36,97,2,3,0,0,0,0,1,1,40.0,19.4,19
36,67.0,1,16,18,29,39,103,2,3,0,0,1,1,1,2,40.0,20.6,18
37,67.0,4,16,19,23,41,103,2,3,0,0,0,1,2,2,40.0,20.6,19
38,67.0,7,9,14,29,38,97,2,3,0,0,1,0,0,3,40.0,19.4,14
39,67.0,5,12,21,29,36,103,2,3,0,0,0,0,0,1,40.0,20.6,21
40,67.0,5,11,20,23,38,97,2,3,0,0,0,0,2,2,40.0,19.4,20
41,67.0,2,13,25,30,33,103,2,3,0,0,1,1,2,2,40.0,20.6,25
42,67.0,8,11,21,25,32,97,2,3,0,0,1,1,2,2,40.0,19.4,21
43,67.0,4,13,21,30,35,103,2,3,0,0,0,0,1,1,40.0,20.6,21
44,67.0,4,10,21,31,37,103,2,3,0,0,1,1,1,2,40.0,20.6,21
45,67.0,1,7,19,28,42,97,2,3,0,0,0,0,0,2,40.0,19.4,19
46,67.0,1,10,26,29,31,97,2,3,0,0,1,1,1,3,40.0,19.4,26
47,67.0,3,11,22,29,38,103,2,3,0,0,0,1,2,3,40.0,20.6,22
48,67.0,9,12,15,23,38,97,2,3,0,0,0,0,1,2,40.0,19.4,15
49,67.0,2,13,21,26,41,103,2,3,0,0,1,0,0,0,40.0,20.6,21
50,67.0,6,13,21,23,40,103,2,3,0,0,1,1,2,2,40.0,20.6,21
51,67.0,6,13,19,25,34,97,2,3,0,0,0,1,1,1,40.0,19.4,19
52,66.5,2,16,19,29,38,104,3,2,0,0,1,1,1,2,40.0,20.8,19
53,66.5,8,11,13,24,40,96,3,2,0,0,0,1,2,2,40.0,19.2,13
54,66.5,1,18,22,27,36,104,3,2,0,0,0,1,1,1,40.0,20.8,22
55,66.5,3,13,20,26,34,96,3,2,0,0,1,0,0,0,40.0,19.2,20
56,66.5,3,13,20,22,38,96,3,2,0,0,1,1,1,1,40.0,19.2,20
57,66.5,6,13,24,28,33,104,3,2,0,0,1,0,0,0,40.0,20.8,24
58,66.5,5,10,14,25,42,96,3,2,0,0,1,1,1,3,40.0,19.2,14
59,66.5,5,11,24,26,30,96,3,2,0,0,0,0,2,2,40.0,19.2,24
60,66.5,4,12,17,24,39,96,3,2,0,0,1,0,0,0,40.0,19.2,17
61,66.5,7,15,18,24,32,96,3,2,0,0,0,0,0,1,40.0,19.2,18
62,66.5,5,12,21,32,40,110,3,2,0,0,1,1,1,1,40.0,22.0,21
63,66.5,3,14,20,26,33,96,3,2,0,0,1,0,0,0,40.0,19.2,20
64,66.5,8,11,20,24,33,96,3,2,0,0,0,0,1,1,40.0,19.2,20
