Rank,Score,Num1,Num2,Num3,Num4,Num5,Sum,Even,Odd,Seq2,Seq3,Mod,Dup1,Dup2,Dup3,r0,r1,r2,r3,r4,r5,r6,r7,Mean,Median
1,80.0005,3,12,18,29,39,101,2,3,0,0,1,0,1,2,0,0,0,3,1,1,0,0,20.2,18.0
2,80.0005,3,16,19,29,32,99,2,3,0,0,1,0,1,2,0,0,0,1,1,1,1,1,19.8,19.0
3,79.501,4,12,22,29,31,98,3,2,0,0,1,0,0,1,0,0,0,2,0,2,1,0,19.6,22.0
4,79.501,4,16,18,25,39,102,3,2,0,0,0,0,2,2,0,0,0,1,3,0,1,0,20.4,18.0
5,79.0015,3,12,23,30,35,103,2,3,0,0,1,0,1,1,0,0,0,2,2,1,0,0,20.6,23.0
6,79.0015,4,12,23,25,33,97,2,3,0,0,1,0,1,1,0,0,0,3,1,0,1,0,19.4,23.0
7,78.502,3,16,20,25,32,96,3,2,0,0,0,0,1,1,0,0,0,1,2,1,1,0,19.2,20.0
8,78.0025,3,18,22,25,37,105,2,3,0,0,0,0,1,1,0,0,0,1,1,2,1,0,21.0,22.0
9,78.0025,4,7,18,25,41,95,2,3,0,0,0,1,2,2,0,0,0,1,2,1,1,0,19.0,18.0
10,78.0025,3,13,16,32,41,105,2,3,0,0,1,0,1,1,0,0,0,0,1,3,1,0,21.0,16.0
11,77.506,4,13,22,32,41,112,3,2,0,0,1,0,0,0,0,0,0,0,0,3,2,0,22.4,22.0
12,77.503,3,13,20,32,38,106,3,2,0,0,1,0,1,1,0,0,0,2,0,2,1,0,21.2,20.0
13,77.503,3,12,25,28,38,106,3,2,0,0,1,0,1,1,0,0,0,2,1,1,0,1,21.2,25.0
14,77.503,5,16,25,28,32,106,3,2,0,0,1,1,2,2,0,0,0,0,3,0,1,1,21.2,25.0
15,77.0035,3,19,23,30,32,107,2,3,0,0,1,0,1,1,0,0,0,1,1,1,1,1,21.4,23.0
16,77.0035,5,12,18,31,41,107,2,3,0,0,1,1,2,2,0,0,0,2,1,2,0,0,21.4,18.0
17,76.504,3,16,19,22,32,92,3,2,0,0,1,0,1,1,0,0,0,0,1,2,1,1,18.4,19.0
18,76.5,3,18,23,26,30,100,3,2,0,0,1,0,2,2,0,0,1,2,1,1,0,0,20.0,23.0
19,76.5,3,12,23,28,34,100,3,2,0,0,1,1,2,2,0,0,1,2,0,1,0,1,20.0,23.0
20,76.5,7,16,19,22,36,100,3,2,0,0,1,1,2,2,0,0,1,0,2,1,0,1,20.0,19.0
21,76.0045,7,12,20,33,37,109,2,3,0,0,1,1,1,1,0,0,0,3,1,0,1,0,21.8,20.0
22,76.0045,7,16,20,25,41,109,2,3,0,0,0,1,2,2,0,0,0,1,3,1,0,0,21.8,20.0
23,76.0015,4,7,22,29,35,97,2,3,0,0,0,1,1,2,0,0,0,1,2,1,1,0,19.4,22.0
24,76.0005,9,16,19,25,30,99,2,3,0,0,1,0,1,1,0,0,1,0,3,0,0,1,19.8,19.0
25,76.0005,8,13,23,25,32,101,2,3,0,0,1,0,1,1,0,0,1,1,1,1,1,0,20.2,23.0
26,76.0005,7,13,22,27,30,99,2,3,0,0,1,1,1,1,0,0,1,0,2,2,0,0,19.8,22.0
27,76.0005,1,16,22,29,33,101,2,3,0,0,0,0,1,2,0,0,1,2,1,1,0,0,20.2,22.0
28,76.0005,4,11,20,31,33,99,2,3,0,0,1,0,0,0,0,0,1,2,0,1,1,0,19.8,20.0
29,75.505,4,19,22,30,35,110,3,2,0,0,0,0,0,0,0,0,0,0,2,1,1,1,22.0,22.0
30,75.505,4,7,19,22,38,90,3,2,0,0,0,1,2,2,0,0,0,1,1,1,1,1,18.0,19.0
31,75.505,5,12,18,25,30,90,3,2,0,0,1,1,2,2,0,0,0,2,3,0,0,0,18.0,18.0
32,75.501,2,7,20,32,41,102,3,2,0,0,1,1,1,1,0,0,1,1,1,1,1,0,20.4,20.0
33,75.501,3,10,22,32,35,102,3,2,0,0,1,0,0,1,0,0,1,0,1,2,1,0,20.4,22.0
34,75.501,3,12,23,30,34,102,3,2,0,0,1,1,2,2,0,0,1,2,1,1,0,0,20.4,23.0
35,75.501,1,16,22,28,35,102,3,2,0,0,0,0,1,1,0,0,1,0,2,1,0,1,20.4,22.0
36,75.501,2,12,20,31,37,102,3,2,0,0,1,0,0,0,0,0,1,2,0,1,1,0,20.4,20.0
37,75.501,9,16,22,25,30,102,3,2,0,0,0,0,1,1,0,0,1,0,3,1,0,0,20.4,22.0
38,75.501,4,16,19,25,34,98,3,2,0,0,1,1,2,2,0,0,1,0,2,0,1,1,19.6,19.0
39,75.501,4,15,20,25,38,102,3,2,0,0,1,0,1,1,0,0,1,2,1,0,1,0,20.4,20.0
40,75.501,2,4,20,31,41,98,3,2,0,0,1,0,0,0,0,0,1,1,0,2,1,0,19.6,20.0
41,75.501,2,4,25,30,41,102,3,2,0,0,0,0,0,0,0,0,1,0,2,1,1,0,20.4,25.0
42,75.501,1,18,22,29,32,102,3,2,0,0,1,0,1,2,0,0,1,2,0,1,1,0,20.4,22.0
43,75.501,4,12,22,27,33,98,3,2,0,0,1,0,0,0,0,0,1,2,0,1,1,0,19.6,22.0
44,75.501,7,16,21,28,30,102,3,2,0,0,0,1,2,2,0,0,1,0,3,0,0,1,20.4,21.0
45,75.0055,7,18,22,25,39,111,2,3,0,0,0,1,2,2,0,0,0,1,3,1,0,0,22.2,22.0
46,75.0055,4,7,12,25,41,89,2,3,0,0,0,1,1,1,0,0,0,1,2,1,1,0,17.8,12.0
47,75.0055,5,18,25,30,33,111,2,3,0,0,1,1,2,2,0,0,0,2,3,0,0,0,22.2,25.0
48,75.0055,3,16,25,30,37,111,2,3,0,0,0,0,1,1,0,0,0,0,3,1,1,0,22.2,25.0
49,75.0055,5,13,16,22,33,89,2,3,0,0,1,1,2,2,0,0,0,1,2,2,0,0,17.8,16.0
50,75.0025,3,5,20,30,37,95,2,3,0,0,1,1,1,1,0,0,0,1,2,1,1,0,19.0,20.0
51,75.0015,5,12,19,26,35,97,2,3,0,0,1,1,1,1,0,0,1,1,2,0,0,1,19.4,19.0
52,75.0015,3,14,19,29,38,103,2,3,0,0,1,1,2,3,0,0,1,2,0,1,0,1,20.6,19.0
53,75.0015,1,4,19,32,41,97,2,3,0,0,1,0,0,0,0,0,1,0,0,1,2,1,19.4,19.0
54,75.0015,1,12,23,30,37,103,2,3,0,0,0,0,1,1,0,0,1,2,1,0,1,0,20.6,23.0
55,75.0015,1,16,18,25,37,97,2,3,0,0,0,0,2,2,0,0,1,1,2,0,1,0,19.4,18.0
56,75.0015,3,12,14,33,41,103,2,3,0,0,1,1,1,1,0,0,1,2,0,2,0,0,20.6,14.0
57,75.0015,4,12,17,25,39,97,2,3,0,0,0,0,0,0,0,0,1,1,2,0,1,0,19.4,17.0
58,74.503,3,16,18,30,39,106,3,2,0,0,0,0,2,2,0,0,0,1,3,1,0,0,21.2,18.0
59,74.502,5,16,22,24,37,104,3,2,0,0,0,1,2,2,0,0,1,0,2,1,1,0,20.8,22.0
60,74.502,4,16,19,24,41,104,3,2,0,0,1,0,1,1,0,0,1,0,1,1,1,1,20.8,19.0
61,74.502,4,16,19,27,38,104,3,2,0,0,0,0,2,2,0,0,1,1,1,0,1,1,20.8,19.0
62,74.502,5,10,20,28,33,96,3,2,0,0,1,1,1,2,0,0,1,2,1,0,0,1,19.2,20.0
63,74.502,9,12,18,28,37,104,3,2,0,0,1,0,1,1,0,0,1,2,0,0,1,1,20.8,18.0
64,74.502,6,13,22,30,33,104,3,2,0,0,1,0,0,0,0,0,1,1,1,2,0,0,20.8,22.0
65,74.502,1,12,18,33,40,104,3,2,0,0,0,1,2,2,0,0,1,3,1,0,0,0,20.8,18.0
66,74.0095,3,19,22,35,40,119,2,3,0,0,0,1,1,1,0,0,0,0,2,2,0,1,23.8,22.0
67,74.0095,7,16,20,35,41,119,2,3,0,0,0,1,2,2,0,0,0,1,3,1,0,0,23.8,20.0
68,74.0065,4,7,19,25,32,87,2,3,0,0,0,1,1,1,0,0,0,0,2,0,2,1,17.4,19.0
69,74.0065,5,12,28,31,37,113,2,3,0,0,0,1,1,1,0,0,0,1,1,1,1,1,22.6,28.0
70,74.0035,4,13,18,33,39,107,2,3,0,0,1,0,1,1,0,0,0,2,1,1,1,0,21.4,18.0
71,74.0035,7,12,18,31,39,107,2,3,0,0,0,1,2,2,0,0,0,2,2,1,0,0,21.4,18.0
72,74.0025,5,13,22,24,31,95,2,3,0,0,0,1,1,1,0,0,1,0,1,3,0,0,19.0,22.0
