Rank,Score,Num1,Num2,Num3,Num4,Num5,Sum,Even,Odd,Seq2,Seq3,Mod,Modx,Dup1,Dup2,Dup3,r0,r1,r2,r3,r4,r5,r6,r7,Mean,Median
1,80.5,4,12,22,25,37,100,3,2,0,0,1,0,0,0,0,0,0,0,1,1,1,2,0,20.0,22.0
2,80.5,7,13,22,28,30,100,3,2,0,0,0,0,1,1,1,0,0,0,0,2,2,0,1,20.0,22.0
3,80.0005,3,16,19,28,35,101,2,3,0,0,0,0,0,1,1,0,0,0,0,2,1,0,2,20.2,19.0
4,80.0005,5,12,18,25,41,101,2,3,0,0,1,0,1,2,2,0,0,0,2,2,1,0,0,20.2,18.0
5,79.0015,3,19,23,28,30,103,2,3,0,0,1,0,0,1,1,0,0,0,1,1,1,0,2,20.6,23.0
6,78.0025,5,12,19,28,41,105,2,3,0,0,0,0,1,1,1,0,0,0,1,1,1,0,2,21.0,19.0
7,77.503,4,16,22,25,39,106,3,2,0,0,0,0,0,1,1,0,0,0,0,3,1,1,0,21.2,22.0
8,76.501,4,16,19,30,33,102,3,2,0,0,0,0,0,1,1,0,0,0,1,2,0,1,1,20.4,19.0
9,76.0005,7,10,18,25,41,101,2,3,0,0,0,0,1,2,3,0,0,1,1,2,1,0,0,20.2,18.0
10,76.0005,1,12,23,25,38,99,2,3,0,0,0,0,0,2,2,0,0,1,3,1,0,0,0,19.8,23.0
11,75.501,1,3,28,30,40,102,3,2,0,0,1,0,1,1,1,0,0,1,0,2,1,0,1,20.4,28.0
12,75.501,3,16,20,25,34,98,3,2,0,0,0,0,1,2,2,0,0,1,1,2,1,0,0,19.6,20.0
13,75.501,4,18,21,25,30,98,3,2,0,0,0,0,0,1,1,0,0,1,1,2,0,1,0,19.6,21.0
14,75.501,8,12,18,23,37,98,3,2,0,0,1,0,0,2,2,0,0,1,3,0,0,1,0,19.6,18.0
15,75.501,9,12,22,25,30,98,3,2,0,0,1,0,0,0,0,0,0,1,1,2,1,0,0,19.6,22.0
16,75.0045,2,13,23,30,41,109,2,3,0,0,1,0,0,1,1,0,0,1,1,1,2,0,0,21.8,23.0
17,75.0015,5,9,18,28,37,97,2,3,0,0,1,0,1,2,2,0,0,1,1,1,0,1,1,19.4,18.0
18,75.0015,8,12,19,25,33,97,2,3,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,19.4,19.0
19,75.0015,7,16,19,26,35,103,2,3,0,0,1,0,1,2,2,0,0,1,0,3,0,0,1,20.6,19.0
20,75.0015,5,12,23,26,31,97,2,3,0,0,0,0,1,2,2,0,0,1,2,1,1,0,0,19.4,23.0
