Rank,Score,Num1,Num2,Num3,Num4,Num5,Sum,Even,Odd,Seq2,Seq3,Mod,Modx,Dup1,Dup2,Dup3,r0,r1,r2,r3,r4,r5,r6,r7,Mean,Median
1,78.502,7,12,19,28,30,96,3,2,0,0,0,0,1,1,1,0,0,0,1,2,0,0,2,19.2,19.0
2,78.502,5,18,20,22,39,104,3,2,0,0,0,0,1,2,2,0,0,0,2,2,1,0,0,20.8,20.0
3,78.502,5,12,16,28,35,96,3,2,0,0,1,0,1,2,2,0,0,0,1,3,0,0,1,19.2,16.0
4,78.0055,3,16,20,31,41,111,2,3,0,0,1,0,0,1,1,0,0,0,1,1,3,0,0,22.2,20.0
5,78.0025,4,13,19,28,41,105,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,21.0,19.0
6,77.0065,3,16,20,33,41,113,2,3,0,0,1,0,0,1,1,0,0,0,2,1,2,0,0,22.6,20.0
7,77.0035,5,19,23,28,32,107,2,3,0,0,0,0,1,2,2,0,0,0,1,1,0,1,2,21.4,23.0
8,77.0035,3,12,20,35,37,107,2,3,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,21.4,20.0
9,76.5,6,12,19,22,41,100,3,2,0,0,1,0,0,0,0,0,0,1,1,0,2,0,1,20.0,19.0
10,76.5,8,16,20,23,33,100,3,2,0,0,1,0,0,2,2,0,0,1,3,1,0,0,0,20.0,20.0
11,76.0045,7,18,20,25,39,109,2,3,0,0,0,0,1,2,2,0,0,0,2,3,0,0,0,21.8,20.0
12,76.0045,7,12,20,33,37,109,2,3,0,0,1,0,1,1,1,0,0,0,3,1,0,1,0,21.8,20.0
13,76.0035,1,13,20,32,41,107,2,3,0,0,1,0,0,0,0,0,0,1,1,0,2,1,0,21.4,20.0
14,76.0005,5,8,12,33,41,99,2,3,0,0,0,0,1,1,1,0,0,1,2,1,1,0,0,19.8,12.0
15,76.0005,3,13,20,31,34,101,2,3,0,0,1,0,1,1,1,0,0,1,1,0,3,0,0,20.2,20.0
16,76.0005,1,18,20,25,35,99,2,3,0,0,1,0,0,1,1,0,0,1,2,2,0,0,0,19.8,20.0
17,76.0005,5,16,21,25,32,99,2,3,0,0,1,0,1,2,2,0,0,1,0,3,0,1,0,19.8,21.0
18,75.502,4,16,19,30,35,104,3,2,0,0,0,0,0,1,1,0,0,0,0,3,0,1,1,20.8,19.0
19,75.501,1,16,18,22,41,98,3,2,0,0,1,0,0,2,2,0,0,1,1,1,2,0,0,19.6,18.0
20,75.501,9,16,18,20,35,98,3,2,0,0,0,0,0,2,2,0,0,1,2,2,0,0,0,19.6,18.0
21,75.501,3,12,16,29,42,102,3,2,0,0,1,0,0,1,2,0,0,1,2,1,1,0,0,20.4,16.0
22,75.0055,4,12,29,31,35,111,2,3,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0,22.2,29.0
23,75.0015,5,9,16,28,39,97,2,3,0,0,1,0,1,2,2,0,0,1,0,3,0,0,1,19.4,16.0
24,75.0015,5,16,19,24,39,103,2,3,0,0,1,0,1,2,2,0,0,1,0,3,0,0,1,20.6,19.0
25,75.0015,7,13,17,22,38,97,2,3,0,0,1,0,1,2,2,0,0,1,1,1,2,0,0,19.4,17.0
26,75.0015,7,10,22,25,39,103,2,3,0,0,0,0,1,1,2,0,0,1,0,3,1,0,0,20.6,22.0
27,75.0005,3,4,20,33,41,101,2,3,1,0,1,0,0,0,0,0,0,0,2,0,2,1,0,20.2,20.0
28,74.502,4,9,19,32,40,104,3,2,0,0,1,0,1,1,1,0,0,1,0,1,0,2,1,20.8,19.0
29,74.502,5,8,12,30,41,96,3,2,0,0,0,0,1,1,1,0,0,1,1,2,1,0,0,19.2,12.0
30,74.0065,7,12,23,32,39,113,2,3,0,0,1,0,1,2,2,0,0,0,2,2,0,1,0,22.6,23.0
31,74.0065,7,16,22,31,37,113,2,3,0,0,1,0,1,2,2,0,0,0,0,2,2,1,0,22.6,22.0
32,74.0025,5,12,22,27,39,105,2,3,0,0,1,0,1,1,1,0,0,1,1,2,1,0,0,21.0,22.0
33,74.0025,5,11,20,28,31,95,2,3,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,19.0,20.0
34,74.0025,5,15,20,28,37,105,2,3,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,21.0,20.0
35,74.0025,3,17,19,28,38,105,2,3,0,0,1,0,0,1,1,0,0,1,1,0,1,0,2,21.0,19.0
36,74.0015,5,18,19,25,30,97,2,3,1,0,1,0,1,2,2,0,0,0,1,3,0,0,1,19.4,19.0
37,74.0015,3,19,22,29,30,103,2,3,1,0,1,0,0,0,1,0,0,0,1,1,2,0,1,20.6,22.0
38,73.503,4,11,25,28,38,106,3,2,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,21.2,25.0
39,73.503,4,8,16,37,41,106,3,2,0,0,0,0,0,1,1,0,0,1,0,1,1,2,0,21.2,16.0
40,73.502,3,18,22,23,30,96,3,2,1,0,1,0,0,2,2,0,0,0,2,1,2,0,0,19.2,22.0
41,73.0075,3,18,25,31,38,115,2,3,0,0,1,0,0,2,2,0,0,0,2,1,2,0,0,23.0,25.0
42,73.0045,13,16,23,25,32,109,2,3,0,0,1,0,0,2,2,0,0,0,1,2,1,1,0,21.8,23.0
43,73.0045,4,7,20,25,35,91,2,3,0,0,1,0,1,1,1,0,0,0,1,3,0,1,0,18.2,20.0
44,73.0035,5,18,25,27,32,107,2,3,0,0,1,0,1,2,2,0,0,1,1,2,0,1,0,21.4,25.0
45,73.0035,4,13,25,27,38,107,2,3,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,21.4,25.0
