Rank,Score,Num1,Num2,Num3,Num4,Num5,Sum,Even,Odd,Seq2,Seq3,Mod,Dup1,Dup2,Dup3,r0,r1,r2,r3,r4,r5,r6,r7,Mean,Median
1,80.0005,7,12,20,29,31,99,2,3,0,0,0,1,1,3,0,0,0,3,1,1,0,0,19.8,20.0
2,80.0005,3,5,19,32,40,99,2,3,0,0,0,1,1,1,0,0,0,0,2,1,1,1,19.8,19.0
3,80.0005,3,16,18,23,39,99,2,3,0,0,1,1,2,2,0,0,0,2,2,1,0,0,19.8,18.0
4,79.501,3,12,19,28,40,102,3,2,0,0,0,1,1,1,0,0,0,1,1,1,0,2,20.4,19.0
5,79.0015,5,13,20,22,37,97,2,3,0,0,0,1,1,1,0,0,0,1,1,2,1,0,19.4,20.0
6,77.0035,4,13,18,31,41,107,2,3,0,0,1,1,1,1,0,0,0,1,0,3,1,0,21.4,18.0
7,77.0035,5,16,23,28,35,107,2,3,0,0,1,1,2,2,0,0,0,1,3,0,0,1,21.4,23.0
8,77.0035,4,13,23,32,35,107,2,3,0,0,1,0,1,1,0,0,0,1,1,1,2,0,21.4,23.0
9,77.0005,4,12,19,31,35,101,2,3,0,0,0,1,1,1,0,0,0,1,1,1,1,1,20.2,19.0
10,76.507,5,18,20,30,41,114,3,2,0,0,1,0,1,1,0,0,0,2,2,1,0,0,22.8,20.0
11,76.501,5,7,16,32,38,98,3,2,0,0,0,1,1,2,0,0,0,1,3,0,1,0,19.6,16.0
12,76.501,5,12,19,30,32,98,3,2,0,0,1,0,1,1,0,0,0,1,2,0,1,1,19.6,19.0
13,76.501,3,7,18,32,38,98,3,2,0,0,1,0,0,1,0,0,0,2,1,1,1,0,19.6,18.0
14,76.5,5,12,24,28,31,100,3,2,0,0,0,1,1,1,0,0,1,1,1,1,0,1,20.0,24.0
15,76.5,3,14,18,28,37,100,3,2,0,0,1,0,0,0,0,0,1,1,0,1,1,1,20.0,18.0
16,76.5,5,14,16,28,37,100,3,2,0,0,0,1,1,1,0,0,1,0,2,0,1,1,20.0,16.0
17,76.0005,3,11,20,30,35,99,2,3,0,0,1,0,2,2,0,0,1,1,2,1,0,0,19.8,20.0
18,76.0005,7,14,18,29,33,101,2,3,0,0,0,0,0,2,0,0,1,3,1,0,0,0,20.2,18.0
19,76.0005,7,14,19,23,38,101,2,3,0,0,0,0,1,2,0,0,1,2,1,0,0,1,20.2,19.0
20,76.0005,8,13,19,22,37,99,2,3,0,0,0,1,1,1,0,0,1,0,0,2,1,1,19.8,19.0
21,76.0005,6,12,19,25,39,101,2,3,0,0,1,1,1,1,0,0,1,1,2,0,0,1,20.2,19.0
22,75.501,1,12,20,29,40,102,3,2,0,0,1,1,1,2,0,0,1,3,1,0,0,0,20.4,20.0
23,75.501,4,14,20,23,37,98,3,2,0,0,1,0,1,1,0,0,1,2,0,0,2,0,19.6,20.0
24,75.0085,4,16,23,33,41,117,2,3,0,0,1,1,2,2,0,0,0,2,1,1,1,0,23.4,23.0
25,75.0045,3,13,20,31,42,109,2,3,0,0,1,1,1,2,0,0,1,1,0,3,0,0,21.8,20.0
26,75.0025,5,13,18,32,37,105,2,3,0,0,0,0,0,0,0,0,0,1,1,1,2,0,21.0,18.0
27,75.0025,5,7,16,30,37,95,2,3,0,0,1,1,2,3,0,0,0,0,4,0,1,0,19.0,16.0
28,75.0015,9,12,18,29,35,103,2,3,0,0,1,0,0,2,0,0,1,3,1,0,0,0,20.6,18.0
29,75.0015,7,11,19,28,32,97,2,3,0,0,0,0,1,2,0,0,1,0,1,0,1,2,19.4,19.0
30,75.0015,3,13,16,24,41,97,2,3,0,0,1,1,1,1,0,0,1,0,1,3,0,0,19.4,16.0
31,74.502,5,12,22,27,38,104,3,2,0,0,1,1,1,1,0,0,1,2,1,1,0,0,20.8,22.0
32,74.502,8,12,20,23,33,96,3,2,0,0,1,0,1,1,0,0,1,4,0,0,0,0,19.2,20.0
33,74.0035,5,16,18,33,35,107,2,3,0,0,1,1,1,1,0,0,0,2,3,0,0,0,21.4,18.0
34,74.0025,4,11,18,23,39,95,2,3,0,0,0,0,2,2,0,0,1,2,1,0,1,0,19.0,18.0
35,74.0015,4,19,22,23,35,103,2,3,1,0,0,1,2,2,0,0,0,1,1,1,1,1,20.6,22.0
36,73.506,4,16,21,30,41,112,3,2,0,0,1,1,2,2,0,0,1,0,2,1,1,0,22.4,21.0
37,73.503,4,10,13,28,39,94,3,2,0,0,0,0,0,1,0,0,1,0,1,1,1,1,18.8,13.0
38,73.503,4,6,22,33,41,106,3,2,0,0,0,1,1,1,0,0,1,1,0,2,1,0,21.2,22.0
39,73.503,3,12,20,23,36,94,3,2,0,0,1,0,1,1,0,0,1,3,0,1,0,0,18.8,20.0
40,73.503,7,10,22,32,35,106,3,2,0,0,1,1,1,3,0,0,1,0,2,1,1,0,21.2,22.0
41,73.0105,7,13,23,38,40,121,2,3,0,0,1,1,2,3,0,0,0,2,2,1,0,0,24.2,23.0
42,73.0045,3,5,22,28,33,91,2,3,0,0,1,1,1,1,0,0,0,1,1,2,0,1,18.2,22.0
43,73.0035,1,5,19,28,40,93,2,3,0,0,0,1,1,1,0,0,1,0,2,0,0,2,18.6,19.0
44,73.0035,5,14,19,23,32,93,2,3,0,0,0,0,1,1,0,0,1,1,1,0,1,1,18.6,19.0
45,73.0035,1,12,25,32,37,107,2,3,0,0,1,1,1,1,0,0,1,1,1,0,2,0,21.4,25.0
46,73.0025,3,4,13,35,40,95,2,3,1,0,1,1,1,1,0,0,0,0,2,2,1,0,19.0,13.0
47,72.507,4,14,22,33,41,114,3,2,0,0,1,1,1,1,0,0,1,1,0,2,1,0,22.8,22.0
48,72.504,7,14,19,28,40,108,3,2,0,0,0,1,1,2,0,0,1,0,2,0,0,2,21.6,19.0
49,72.504,7,16,20,27,38,108,3,2,0,0,1,1,1,2,0,0,1,2,2,0,0,0,21.6,20.0
50,72.504,5,14,20,31,38,108,3,2,0,0,0,1,1,1,0,0,1,2,1,1,0,0,21.6,20.0
51,72.504,7,14,20,32,35,108,3,2,0,0,0,0,0,1,0,0,1,1,2,0,1,0,21.6,20.0
52,72.5,8,13,18,25,36,100,3,2,0,0,1,1,1,1,0,0,2,1,1,1,0,0,20.0,18.0
53,72.5,1,10,22,32,35,100,3,2,0,0,1,1,1,2,0,0,2,0,1,1,1,0,20.0,22.0
54,72.5,2,11,22,28,37,100,3,2,0,0,1,1,2,2,0,0,2,0,0,1,1,1,20.0,22.0
55,72.5,5,12,18,32,33,100,3,2,1,0,1,0,0,0,0,0,0,3,1,0,1,0,20.0,18.0
56,72.0055,7,12,18,35,39,111,2,3,0,0,0,0,0,1,0,0,0,2,3,0,0,0,22.2,18.0
57,72.0045,3,13,15,38,40,109,2,3,0,0,1,1,1,1,0,0,1,1,1,2,0,0,21.8,15.0
58,72.0045,5,14,23,32,35,109,2,3,0,0,1,0,1,1,0,0,1,1,2,0,1,0,21.8,23.0
59,72.0035,4,5,19,38,41,107,2,3,1,0,0,0,0,0,0,0,0,1,1,1,1,1,21.4,19.0
60,72.0015,5,7,15,32,38,97,2,3,0,0,1,0,0,1,0,0,1,1,2,0,1,0,19.4,15.0
