Rank,Score,Num1,Num2,Num3,Num4,Num5,Sum,Even,Odd,Seq2,Seq3,Mod,Dup1,Dup2,Dup3,r0,r1,r2,r3,r4,r5,r6,r7,Mean,Median
1,80.0005,7,13,18,20,41,99,2,3,0,0,0,0,0,1,0,0,0,2,1,2,0,0,19.8,18.0
2,79.501,4,13,20,28,37,102,3,2,0,0,0,0,0,0,0,0,0,1,0,1,2,1,20.4,20.0
3,79.501,7,16,20,23,32,98,3,2,0,0,0,1,2,3,0,0,0,2,2,0,1,0,19.6,20.0
4,79.0015,5,16,20,23,33,97,2,3,0,0,1,1,2,2,0,0,0,3,2,0,0,0,19.4,20.0
5,79.0015,3,7,18,29,40,97,2,3,0,0,0,1,1,3,0,0,0,2,2,1,0,0,19.4,18.0
6,78.502,7,12,23,30,32,104,3,2,0,0,1,0,2,3,0,0,0,2,2,0,1,0,20.8,23.0
7,78.502,4,12,20,33,35,104,3,2,0,0,0,0,0,0,0,0,0,3,1,0,1,0,20.8,20.0
8,76.503,3,10,20,32,41,106,3,2,0,0,1,0,0,1,0,0,1,1,0,2,1,0,21.2,20.0
9,76.5,3,18,22,27,30,100,3,2,0,0,0,1,2,2,0,0,1,1,1,2,0,0,20.0,22.0
10,76.5,7,10,12,30,41,100,3,2,0,0,1,0,1,3,0,0,1,1,2,1,0,0,20.0,12.0
11,75.508,3,13,28,32,40,116,3,2,0,0,1,1,1,1,0,0,0,0,1,2,1,1,23.2,28.0
12,75.502,4,12,16,33,39,104,3,2,0,0,0,1,1,1,0,0,0,2,2,0,1,0,20.8,16.0
13,75.501,4,12,21,28,37,102,3,2,0,0,0,0,0,0,0,0,1,1,0,0,2,1,20.4,21.0
14,75.501,4,13,23,26,32,98,3,2,0,0,1,0,1,1,0,0,1,1,0,1,2,0,19.6,23.0
15,75.501,5,12,14,30,41,102,3,2,0,0,0,0,1,1,0,0,1,1,2,1,0,0,20.4,14.0
16,75.501,7,12,18,25,36,98,3,2,0,0,0,1,1,2,0,0,1,2,2,0,0,0,19.6,18.0
17,75.0085,5,18,20,33,41,117,2,3,0,0,0,0,0,0,0,0,0,3,1,1,0,0,23.4,20.0
18,75.0055,3,19,22,28,39,111,2,3,0,0,1,1,1,1,0,0,0,0,1,2,0,2,22.2,22.0
19,75.0025,4,7,25,32,37,105,2,3,0,0,1,1,1,2,0,0,0,0,2,0,3,0,21.0,25.0
20,75.0025,3,12,18,33,39,105,2,3,0,0,1,0,0,0,0,0,0,3,1,1,0,0,21.0,18.0
21,75.0015,3,10,12,31,41,97,2,3,0,0,1,1,1,2,0,0,1,1,0,3,0,0,19.4,12.0
22,75.0015,1,16,20,23,37,97,2,3,0,0,0,1,2,2,0,0,1,2,1,0,1,0,19.4,20.0
23,75.0015,3,12,21,30,37,103,2,3,0,0,0,0,1,1,0,0,1,1,1,1,1,0,20.6,21.0
24,75.0015,3,16,18,21,39,97,2,3,0,0,0,1,1,1,0,0,1,1,2,1,0,0,19.4,18.0
25,74.502,5,13,20,26,40,104,3,2,0,0,1,1,1,1,0,0,1,1,2,1,0,0,20.8,20.0
26,74.502,4,13,18,25,36,96,3,2,0,0,0,1,1,1,0,0,1,1,1,1,1,0,19.2,18.0
27,74.502,5,12,26,28,33,104,3,2,0,0,0,0,0,0,0,0,1,2,1,0,0,1,20.8,26.0
28,74.501,4,19,20,25,30,98,3,2,1,0,1,1,2,2,0,0,0,1,2,0,1,1,19.6,20.0
29,74.0025,1,4,23,37,40,105,2,3,0,0,0,1,2,2,0,0,1,1,1,0,2,0,21.0,23.0
30,74.0025,7,14,23,28,33,105,2,3,0,0,1,0,1,2,0,0,1,2,1,0,0,1,21.0,23.0
31,73.507,4,7,16,20,39,86,3,2,0,0,0,1,1,2,0,0,0,1,3,0,1,0,17.2,16.0
32,73.503,7,16,18,29,36,106,3,2,0,0,1,1,1,3,0,0,1,2,2,0,0,0,21.2,18.0
33,73.503,5,7,18,24,40,94,3,2,0,0,0,1,1,2,0,0,1,1,3,0,0,0,18.8,18.0
34,73.503,8,12,19,23,32,94,3,2,0,0,1,0,1,1,0,0,1,2,0,0,1,1,18.8,19.0
35,73.503,4,15,18,28,41,106,3,2,0,0,1,0,0,0,0,0,1,1,0,1,1,1,21.2,18.0
36,73.503,2,16,23,28,37,106,3,2,0,0,0,1,2,2,0,0,1,1,1,0,1,1,21.2,23.0
37,73.5,3,7,18,34,38,100,3,2,0,0,1,0,0,1,0,0,1,2,1,1,0,0,20.0,18.0
38,73.0035,5,13,16,24,35,93,2,3,0,0,1,1,1,1,0,0,1,0,3,1,0,0,18.6,16.0
39,73.0035,4,13,21,32,37,107,2,3,0,0,0,0,0,0,0,0,1,0,0,1,3,0,21.4,21.0
40,73.0035,5,11,19,28,30,93,2,3,0,0,0,0,2,2,0,0,1,0,2,0,0,2,18.6,19.0
41,73.0025,4,18,19,23,41,105,2,3,1,0,0,0,1,1,0,0,0,2,0,1,1,1,21.0,19.0
42,73.0005,4,12,15,33,35,99,2,3,0,0,1,0,0,0,0,0,1,2,1,0,1,0,19.8,15.0
43,73.0005,5,7,23,26,40,101,2,3,0,0,0,1,2,3,0,0,1,1,3,0,0,0,20.2,23.0
44,72.508,5,7,18,22,32,84,3,2,0,0,1,1,1,2,0,0,0,1,2,1,1,0,16.8,18.0
45,72.507,4,14,20,35,41,114,3,2,0,0,1,0,0,0,0,0,1,1,1,1,1,0,22.8,20.0
46,72.504,9,12,25,30,32,108,3,2,0,0,1,1,2,3,0,0,1,1,2,0,1,0,21.6,25.0
47,72.504,3,14,20,32,39,108,3,2,0,0,0,0,0,0,0,0,1,1,1,1,1,0,21.6,20.0
48,72.504,7,12,15,28,30,92,3,2,0,0,0,0,1,2,0,0,1,1,2,0,0,1,18.4,15.0
49,72.504,7,14,18,20,33,92,3,2,0,0,0,0,0,1,0,0,1,3,1,0,0,0,18.4,18.0
50,72.501,3,6,22,33,38,102,3,2,0,0,1,1,1,1,0,0,1,2,0,2,0,0,20.4,22.0
51,72.501,3,6,19,32,38,98,3,2,0,0,0,0,0,0,0,0,1,1,0,1,1,1,19.6,19.0
52,72.5,5,8,13,34,40,100,3,2,0,0,0,1,1,1,0,0,2,0,2,1,0,0,20.0,13.0
53,72.5,5,14,22,26,33,100,3,2,0,0,0,1,1,1,0,0,2,1,1,1,0,0,20.0,22.0
54,72.5,2,14,23,28,33,100,3,2,0,0,1,0,1,1,0,0,2,2,0,0,0,1,20.0,23.0
