Rank,Score,Num1,Num2,Num3,Num4,Num5,Sum,Even,Odd,Seq2,Seq3,Mod,Dup1,Dup2,Dup3,RankScore,Mean,Median
1,68.5,8,11,22,27,32,100,3,2,0,0,1,1,2,2,40.0,20.0,22.0
2,68.5,1,10,24,30,35,100,3,2,0,0,1,0,1,2,40.0,20.0,24.0
3,68.5,4,6,17,32,41,100,3,2,0,0,0,0,0,0,40.0,20.0,17.0
4,68.5,2,6,13,37,42,100,3,2,0,0,1,0,0,1,40.0,20.0,13.0
5,68.5,1,10,12,35,42,100,3,2,0,0,1,0,0,2,40.0,20.0,12.0
6,68.5,6,9,15,28,42,100,3,2,0,0,0,0,0,2,40.0,20.0,15.0
7,68.5,4,8,15,32,41,100,3,2,0,0,0,0,0,0,40.0,20.0,15.0
8,68.5,6,12,14,27,41,100,3,2,0,0,0,0,0,0,40.0,20.0,14.0
9,68.5,1,10,22,26,41,100,3,2,0,0,1,1,1,2,40.0,20.0,22.0
10,68.5,4,12,21,23,40,100,3,2,0,0,0,1,2,2,40.0,20.0,21.0
11,68.5,5,12,24,27,32,100,3,2,0,0,1,0,0,0,40.0,20.0,24.0
12,68.5,9,12,17,24,38,100,3,2,0,0,0,0,0,1,40.0,20.0,17.0
13,68.5,8,11,14,28,39,100,3,2,0,0,1,0,1,1,40.0,20.0,14.0
14,68.5,8,17,20,23,32,100,3,2,0,0,0,0,1,1,40.0,20.0,20.0
15,68.5,6,10,21,26,37,100,3,2,0,0,1,0,0,1,40.0,20.0,21.0
16,68.0,3,16,19,24,37,99,2,3,0,0,0,1,1,1,40.0,19.8,19.0
17,68.0,6,13,18,27,37,101,2,3,0,0,1,0,0,0,40.0,20.2,18.0
18,68.0,7,13,20,27,34,101,2,3,0,0,1,0,0,1,40.0,20.2,20.0
19,68.0,3,12,17,29,40,101,2,3,0,0,0,1,1,2,40.0,20.2,17.0
20,68.0,7,14,21,24,35,101,2,3,0,0,1,0,0,1,40.0,20.2,21.0
21,68.0,1,11,15,34,40,101,2,3,0,0,1,1,2,2,40.0,20.2,15.0
22,68.0,7,14,19,24,35,99,2,3,0,0,1,0,0,1,40.0,19.8,19.0
23,68.0,6,10,17,29,37,99,2,3,0,0,1,0,0,2,40.0,19.8,17.0
24,68.0,1,5,23,30,42,101,2,3,0,0,0,0,2,3,40.0,20.2,23.0
25,68.0,1,13,22,30,35,101,2,3,0,0,0,1,2,2,40.0,20.2,22.0
26,67.5,3,5,18,34,42,102,3,2,0,0,0,0,0,1,40.0,20.4,18.0
27,67.5,2,18,20,23,35,98,3,2,0,0,0,0,1,1,40.0,19.6,20.0
28,67.5,4,8,17,27,42,98,3,2,0,0,1,0,0,1,40.0,19.6,17.0
29,67.5,5,10,20,24,39,98,3,2,0,0,1,0,0,1,40.0,19.6,20.0
30,67.5,8,14,18,27,31,98,3,2,0,0,1,1,1,1,40.0,19.6,18.0
31,67.5,1,13,20,32,42,108,3,2,0,0,1,0,0,1,40.0,21.6,20.0
32,67.5,3,13,20,28,34,98,3,2,0,0,1,0,0,0,40.0,19.6,20.0
33,67.5,1,14,17,30,40,102,3,2,0,0,1,1,2,2,40.0,20.4,17.0
34,67.5,4,18,20,23,37,102,3,2,0,0,0,0,1,1,40.0,20.4,20.0
35,67.5,6,11,20,23,38,98,3,2,0,0,0,0,2,2,40.0,19.6,20.0
36,67.5,4,13,16,29,36,98,3,2,0,0,1,1,1,2,40.0,19.6,16.0
37,67.5,6,13,18,24,41,102,3,2,0,0,0,0,0,0,40.0,20.4,18.0
38,67.5,9,14,18,23,38,102,3,2,0,0,1,0,1,2,40.0,20.4,18.0
39,67.5,9,14,18,21,36,98,3,2,0,0,0,0,0,1,40.0,19.6,18.0
40,67.5,2,5,10,39,42,98,3,2,0,0,1,0,0,2,40.0,19.6,10.0
41,67.5,8,10,25,27,32,102,3,2,0,0,0,1,1,2,40.0,20.4,25.0
42,67.5,9,14,16,20,39,98,3,2,0,0,1,1,1,2,40.0,19.6,16.0
43,67.5,4,15,20,23,36,98,3,2,0,0,0,0,1,1,40.0,19.6,20.0
44,67.5,2,9,15,30,42,98,3,2,0,0,1,0,1,3,40.0,19.6,15.0
45,67.5,6,13,17,28,38,102,3,2,0,0,1,0,0,0,40.0,20.4,17.0
46,67.0,6,13,18,27,39,103,2,3,0,0,0,0,0,0,40.0,20.6,18.0
47,67.0,4,11,15,25,42,97,2,3,0,0,1,1,2,3,40.0,19.4,15.0
48,67.0,3,9,21,30,40,103,2,3,0,0,1,1,2,3,40.0,20.6,21.0
49,67.0,3,11,17,30,42,103,2,3,0,0,0,0,2,3,40.0,20.6,17.0
50,67.0,5,7,18,32,41,103,2,3,0,0,0,0,0,1,40.0,20.6,18.0
51,67.0,3,11,24,30,35,103,2,3,0,0,0,0,2,2,40.0,20.6,24.0
52,67.0,3,17,20,22,35,97,2,3,0,0,0,1,1,1,40.0,19.4,20.0
53,67.0,3,10,21,28,35,97,2,3,0,0,0,0,0,1,40.0,19.4,21.0
54,67.0,8,13,19,21,36,97,2,3,0,0,0,0,0,0,40.0,19.4,19.0
55,67.0,3,17,24,27,32,103,2,3,0,0,1,0,0,0,40.0,20.6,24.0
56,67.0,4,11,13,33,42,103,2,3,0,0,1,0,1,2,40.0,20.6,13.0
57,67.0,5,15,19,22,36,97,2,3,0,0,1,1,1,1,40.0,19.4,19.0
58,67.0,1,12,20,23,41,97,2,3,0,0,1,0,1,1,40.0,19.4,20.0
59,67.0,3,15,17,24,38,97,2,3,0,0,0,0,0,0,40.0,19.4,17.0
60,67.0,6,12,15,29,41,103,2,3,0,0,0,0,0,1,40.0,20.6,15.0
61,67.0,2,9,11,35,40,97,2,3,0,0,0,1,2,3,40.0,19.4,11.0
62,67.0,1,14,20,29,33,97,2,3,0,0,0,0,0,1,40.0,19.4,20.0
63,67.0,1,9,15,38,40,103,2,3,0,0,0,1,1,2,40.0,20.6,15.0
64,67.0,1,5,20,37,40,103,2,3,0,0,1,1,1,1,40.0,20.6,20.0
65,67.0,5,12,15,24,41,97,2,3,0,0,1,0,0,0,40.0,19.4,15.0
66,66.5,2,9,13,30,42,96,3,2,0,0,1,0,1,3,40.0,19.2,13.0
67,66.5,3,14,22,30,41,110,3,2,0,0,0,1,2,2,40.0,22.0,22.0
68,66.5,7,14,20,22,33,96,3,2,0,0,0,1,1,2,40.0,19.2,20.0
69,66.5,1,19,22,26,36,104,3,2,0,0,1,1,1,1,40.0,20.8,22.0
70,66.5,6,11,18,20,41,96,3,2,0,0,1,0,1,1,40.0,19.2,18.0
71,66.5,6,9,14,35,40,104,3,2,0,0,0,1,1,2,40.0,20.8,14.0
72,66.5,2,8,14,31,41,96,3,2,0,0,1,1,1,1,40.0,19.2,14.0
73,66.5,7,13,16,28,32,96,3,2,0,0,0,1,1,2,40.0,19.2,16.0
74,66.5,2,17,20,23,34,96,3,2,0,0,0,0,1,1,40.0,19.2,20.0
75,66.5,6,10,13,27,40,96,3,2,0,0,1,1,1,2,40.0,19.2,13.0
76,66.5,3,10,24,26,41,104,3,2,0,0,0,0,0,1,40.0,20.8,24.0
77,66.5,6,10,24,29,35,104,3,2,0,0,0,0,0,2,40.0,20.8,24.0
78,66.5,3,6,21,32,42,104,3,2,0,0,1,0,0,1,40.0,20.8,21.0
79,66.5,4,12,23,30,41,110,3,2,0,0,0,0,2,2,40.0,22.0,23.0
80,66.5,1,14,18,25,38,96,3,2,0,0,1,1,1,1,40.0,19.2,18.0
81,66.5,9,12,18,23,42,104,3,2,0,0,1,0,1,3,40.0,20.8,18.0
82,66.5,4,7,18,27,40,96,3,2,0,0,1,1,1,2,40.0,19.2,18.0
83,66.01,3,14,20,33,41,111,2,3,0,0,1,0,0,0,40.0,22.2,20.0
84,66.0,4,14,21,29,37,105,2,3,0,0,1,0,0,1,40.0,21.0,21.0
85,66.0,2,19,21,28,35,105,2,3,0,0,0,0,0,0,40.0,21.0,21.0
86,66.0,5,12,19,29,40,105,2,3,0,0,1,1,1,2,40.0,21.0,19.0
87,66.0,3,8,10,33,41,95,2,3,0,0,1,0,0,1,40.0,19.0,10.0
88,66.0,1,10,16,37,41,105,2,3,0,0,1,1,1,2,40.0,21.0,16.0
89,66.0,7,13,16,21,38,95,2,3,0,0,0,1,1,2,40.0,19.0,16.0
90,66.0,5,11,24,26,39,105,2,3,0,0,0,0,1,1,40.0,21.0,24.0
91,66.0,7,11,16,28,33,95,2,3,0,0,0,1,2,3,40.0,19.0,16.0
92,66.0,8,11,15,26,35,95,2,3,0,0,1,0,1,1,40.0,19.0,15.0
93,66.0,5,11,24,27,38,105,2,3,0,0,0,0,1,1,40.0,21.0,24.0
94,66.0,2,13,23,26,31,95,2,3,0,0,1,1,2,2,40.0,19.0,23.0
95,66.0,3,5,24,31,42,105,2,3,0,0,0,1,1,2,40.0,21.0,24.0
96,66.0,6,13,17,27,42,105,2,3,0,0,1,0,0,1,40.0,21.0,17.0
97,66.0,6,13,19,27,30,95,2,3,0,0,0,0,1,1,40.0,19.0,19.0
98,66.0,7,11,14,27,36,95,2,3,0,0,1,0,1,2,40.0,19.0,14.0
99,66.0,7,11,19,22,36,95,2,3,0,0,0,1,2,3,40.0,19.0,19.0
100,66.0,5,18,21,26,35,105,2,3,0,0,1,0,0,0,40.0,21.0,21.0
101,66.0,7,12,20,27,39,105,2,3,0,0,1,0,0,1,40.0,21.0,20.0
102,66.0,7,13,15,22,38,95,2,3,0,0,0,1,1,2,40.0,19.0,15.0
103,65.51,2,10,27,31,42,112,3,2,0,0,1,1,1,3,40.0,22.4,27.0
104,65.5,2,4,25,28,41,100,3,2,0,0,0,1,1,1,40.0,20.0,25.0
105,65.5,1,17,20,24,32,94,3,2,0,0,0,0,0,0,40.0,18.8,20.0
106,65.5,4,11,18,31,42,106,3,2,0,0,1,1,2,3,40.0,21.2,18.0
107,65.5,1,12,28,30,35,106,3,2,0,0,0,0,1,1,40.0,21.2,28.0
108,65.5,1,5,16,30,42,94,3,2,0,0,0,1,2,3,40.0,18.8,16.0
109,65.5,3,5,10,34,42,94,3,2,0,0,0,0,0,2,40.0,18.8,10.0
110,65.5,3,10,20,27,34,94,3,2,0,0,1,0,0,1,40.0,18.8,20.0
111,65.5,5,14,18,22,35,94,3,2,0,0,1,1,1,1,40.0,18.8,18.0
112,65.5,5,8,14,26,41,94,3,2,0,0,0,0,0,0,40.0,18.8,14.0
113,65.5,8,12,17,21,36,94,3,2,0,0,0,0,0,0,40.0,18.8,17.0
114,65.5,4,13,23,30,36,106,3,2,0,0,1,0,2,2,40.0,21.2,23.0
115,65.5,9,15,22,24,36,106,3,2,0,0,0,1,1,2,40.0,21.2,22.0
116,65.5,6,8,17,28,35,94,3,2,0,0,1,0,0,0,40.0,18.8,17.0
117,65.5,4,12,25,27,38,106,3,2,0,0,0,1,1,1,40.0,21.2,25.0
118,65.5,1,13,18,34,40,106,3,2,0,0,0,1,1,1,40.0,21.2,18.0
119,65.5,10,12,20,23,35,100,3,2,0,0,1,0,1,2,40.0,20.0,20.0
120,65.5,1,4,22,37,42,106,3,2,0,0,1,1,1,2,40.0,21.2,22.0
121,65.5,2,6,18,35,39,100,3,2,0,0,0,0,0,0,40.0,20.0,18.0
122,65.5,6,14,17,24,33,94,3,2,0,0,1,0,0,0,40.0,18.8,17.0
123,65.5,5,12,21,24,32,94,3,2,0,0,1,0,0,0,40.0,18.8,21.0
124,65.01,4,11,20,37,41,113,2,3,0,0,1,0,1,1,40.0,22.6,20.0
125,65.01,1,17,24,30,41,113,2,3,0,0,1,0,1,1,40.0,22.6,24.0
126,65.0,3,9,21,26,42,101,2,3,0,0,0,0,0,2,40.0,20.2,21.0
127,65.0,2,17,21,32,35,107,2,3,0,0,1,0,0,0,40.0,21.4,21.0
128,65.0,1,5,12,33,42,93,2,3,0,0,1,0,0,1,40.0,18.6,12.0
129,65.0,3,7,19,34,36,99,2,3,0,0,0,0,0,1,40.0,19.8,19.0
130,65.0,7,10,22,33,35,107,2,3,0,0,0,1,1,3,40.0,21.4,22.0
131,65.0,3,12,19,24,35,93,2,3,0,0,0,0,0,0,40.0,18.6,19.0
132,65.0,4,10,23,33,37,107,2,3,0,0,1,0,1,2,40.0,21.4,23.0
133,65.0,4,13,19,30,41,107,2,3,0,0,0,0,1,1,40.0,21.4,19.0
134,65.0,1,11,14,39,42,107,2,3,0,0,1,0,1,2,40.0,21.4,14.0
135,65.0,5,11,23,32,36,107,2,3,0,0,0,0,2,2,40.0,21.4,23.0
136,65.0,3,9,17,34,36,99,2,3,0,0,0,0,0,1,40.0,19.8,17.0
137,65.0,3,6,18,33,39,99,2,3,0,0,1,0,0,0,40.0,19.8,18.0
