Rank,Score,Num1,Num2,Num3,Num4,Num5,Sum,Even,Odd,Seq2,Seq3,Mod,Dup1,Dup2,Dup3,r0,r1,r2,r3,r4,r5,r6,r7,Mean,Median
1,80.5,3,12,20,28,37,100,3,2,0,0,0,0,0,0,0,0,0,2,0,1,1,1,20.0,20
2,80.5,5,12,20,25,38,100,3,2,0,0,1,1,1,1,0,0,0,3,2,0,0,0,20.0,20
3,80.0005,5,12,18,23,41,99,2,3,0,0,0,0,1,1,0,0,0,3,1,1,0,0,19.8,18
4,79.0015,5,13,18,28,39,103,2,3,0,0,1,0,0,0,0,0,0,1,2,1,0,1,20.6,18
5,78.502,5,18,20,22,39,104,3,2,0,0,0,1,1,1,0,0,0,2,2,1,0,0,20.8,20
6,78.0025,5,7,20,32,41,105,2,3,0,0,0,0,0,1,0,0,0,1,2,1,1,0,21.0,20
7,77.0005,3,7,25,28,38,101,2,3,0,0,1,1,1,2,0,0,0,1,2,1,0,1,20.2,25
8,76.501,3,7,22,32,38,102,3,2,0,0,1,1,1,2,0,0,0,1,1,2,1,0,20.4,22
9,76.5,5,13,18,24,40,100,3,2,0,0,0,1,1,1,0,0,1,1,2,1,0,0,20.0,18
10,76.5,8,16,20,23,33,100,3,2,0,0,1,1,2,2,0,0,1,3,1,0,0,0,20.0,20
11,76.5,3,5,14,38,40,100,3,2,0,0,0,1,1,1,0,0,1,1,2,1,0,0,20.0,14
12,76.5,4,7,13,36,40,100,3,2,0,0,0,1,1,2,0,0,1,0,2,1,1,0,20.0,13
13,76.5,4,6,13,37,40,100,3,2,0,0,0,1,1,1,0,0,1,0,1,1,2,0,20.0,13
14,76.0045,5,7,18,38,41,109,2,3,0,0,1,0,0,1,0,0,0,2,2,1,0,0,21.8,18
15,76.0045,3,18,23,30,35,109,2,3,0,0,1,0,2,2,0,0,0,2,2,1,0,0,21.8,23
16,76.0045,5,18,23,30,33,109,2,3,0,0,1,0,2,2,0,0,0,3,2,0,0,0,21.8,23
17,76.0005,4,10,23,29,35,101,2,3,0,0,0,0,1,3,0,0,1,2,1,0,1,0,20.2,23
18,76.0005,5,11,22,29,32,99,2,3,0,0,1,1,2,3,0,0,1,1,1,1,1,0,19.8,22
19,76.0005,1,13,23,30,32,99,2,3,0,0,1,0,2,2,0,0,1,1,1,1,1,0,19.8,23
20,75.501,3,10,20,28,41,102,3,2,0,0,1,0,0,1,0,0,1,1,0,2,0,1,20.4,20
21,75.501,2,7,16,32,41,98,3,2,0,0,1,1,1,2,0,0,1,0,2,1,1,0,19.6,16
22,75.501,2,4,22,33,41,102,3,2,0,0,1,1,1,1,0,0,1,1,0,2,1,0,20.4,22
23,75.501,4,13,21,28,32,98,3,2,0,0,0,0,0,0,0,0,1,0,0,1,2,1,19.6,21
24,75.0015,7,13,19,26,32,97,2,3,0,0,0,0,0,1,0,0,1,0,1,1,1,1,19.4,19
25,74.506,5,18,20,30,39,112,3,2,0,0,1,0,1,1,0,0,0,2,3,0,0,0,22.4,20
26,74.502,5,16,19,28,36,104,3,2,0,0,1,1,1,1,0,0,1,0,2,0,0,2,20.8,19
27,74.502,3,12,20,26,35,96,3,2,0,0,0,0,0,0,0,0,1,2,1,1,0,0,19.2,20
28,74.502,8,13,20,25,30,96,3,2,0,0,1,1,2,2,0,0,1,1,2,1,0,0,19.2,20
29,74.502,7,15,20,22,32,96,3,2,0,0,1,1,1,2,0,0,1,1,1,1,1,0,19.2,20
30,74.502,7,12,19,22,36,96,3,2,0,0,1,1,1,2,0,0,1,1,1,1,0,1,19.2,19
31,74.0095,5,18,23,33,40,119,2,3,0,0,1,1,2,2,0,0,0,3,2,0,0,0,23.8,23
32,74.0035,3,7,25,28,30,93,2,3,0,0,0,1,2,3,0,0,0,0,3,1,0,1,18.6,25
33,74.0025,5,12,21,28,39,105,2,3,0,0,0,0,0,0,0,0,1,1,2,0,0,1,21.0,21
34,74.0025,4,11,20,29,31,95,2,3,0,0,1,1,2,3,0,0,1,2,0,1,1,0,19.0,20
35,74.0025,2,7,13,32,41,95,2,3,0,0,1,0,0,1,0,0,1,0,1,2,1,0,19.0,13
36,74.0025,6,12,23,25,39,105,2,3,0,0,0,1,2,2,0,0,1,2,2,0,0,0,21.0,23
37,74.0025,3,18,20,27,37,105,2,3,0,0,1,0,0,0,0,0,1,2,0,1,1,0,21.0,20
38,74.0025,1,13,22,28,41,105,2,3,0,0,1,1,1,1,0,0,1,0,0,3,0,1,21.0,22
39,73.506,8,12,20,31,41,112,3,2,0,0,1,1,1,1,0,0,1,2,0,2,0,0,22.4,20
40,73.504,3,7,22,28,32,92,3,2,0,0,1,1,1,2,0,0,0,0,1,2,1,1,18.4,22
41,73.503,4,13,26,30,33,106,3,2,0,0,1,0,1,1,0,0,1,1,1,1,1,0,21.2,26
42,73.5,4,7,23,32,34,100,3,2,0,0,1,0,1,2,0,0,1,1,1,0,2,0,20.0,23
43,73.5,4,10,19,32,35,100,3,2,0,0,0,0,0,1,0,0,1,0,1,0,2,1,20.0,19
44,73.5,3,10,16,32,39,100,3,2,0,0,0,1,1,2,0,0,1,0,2,1,1,0,20.0,16
45,73.5,3,6,23,28,40,100,3,2,0,0,1,1,2,2,0,0,1,1,1,1,0,1,20.0,23
46,73.5,3,9,20,28,40,100,3,2,0,0,1,1,1,2,0,0,1,1,1,1,0,1,20.0,20
47,73.0075,3,5,28,38,41,115,2,3,0,0,1,0,0,0,0,0,0,1,1,2,0,1,23.0,28
48,73.0045,4,12,19,35,39,109,2,3,0,0,1,0,0,0,0,0,0,1,2,0,1,1,21.8,19
49,73.0035,7,13,22,26,39,107,2,3,0,0,0,1,1,2,0,0,1,0,2,2,0,0,21.4,22
