Rank,Score,Num1,Num2,Num3,Num4,Num5,Sum,Even,Odd,Seq2,Seq3,Mod,Dup1,Dup2,Dup3,RankScore,Mean,Median
1,68.5,1,4,18,36,41,100,3,2,0,0,1,0,0,0,40.0,20.0,18.0
2,68.5,5,9,16,28,42,100,3,2,0,0,0,1,1,3,40.0,20.0,16.0
3,68.5,2,13,18,28,39,100,3,2,0,0,1,0,0,0,40.0,20.0,18.0
4,68.5,4,12,21,24,39,100,3,2,0,0,1,0,0,0,40.0,20.0,21.0
5,68.5,2,13,20,27,38,100,3,2,0,0,0,0,0,0,40.0,20.0,20.0
6,68.5,8,15,19,26,32,100,3,2,0,0,0,0,0,0,40.0,20.0,19.0
7,68.5,3,10,19,26,42,100,3,2,0,0,0,0,0,2,40.0,20.0,19.0
8,68.5,4,15,19,28,34,100,3,2,0,0,1,0,0,0,40.0,20.0,19.0
9,68.5,6,13,19,24,38,100,3,2,0,0,0,0,0,0,40.0,20.0,19.0
10,68.5,5,8,18,29,40,100,3,2,0,0,1,1,1,2,40.0,20.0,18.0
11,68.5,8,10,18,25,39,100,3,2,0,0,1,1,1,2,40.0,20.0,18.0
12,68.5,6,9,13,30,42,100,3,2,0,0,0,0,1,3,40.0,20.0,13.0
13,68.5,1,18,20,27,34,100,3,2,0,0,0,0,0,0,40.0,20.0,20.0
14,68.0005,2,9,11,37,42,101,2,3,0,0,1,0,1,3,40.0,20.2,11.0
15,68.0005,7,10,21,25,36,99,2,3,0,0,0,1,1,3,40.0,19.8,21.0
16,68.0005,6,10,21,29,35,101,2,3,0,0,0,0,0,2,40.0,20.2,21.0
17,68.0005,6,15,19,21,40,101,2,3,0,0,0,1,1,1,40.0,20.2,19.0
18,68.0005,4,13,20,29,35,101,2,3,0,0,0,0,0,1,40.0,20.2,20.0
19,68.0005,1,4,17,38,41,101,2,3,0,0,1,0,0,0,40.0,20.2,17.0
20,68.0005,4,7,19,30,41,101,2,3,0,0,0,0,1,2,40.0,20.2,19.0
21,68.0005,7,11,14,28,39,99,2,3,0,0,0,0,1,2,40.0,19.8,14.0
22,68.0005,6,9,12,33,41,101,2,3,0,0,0,0,0,1,40.0,20.2,12.0
23,68.0005,5,14,19,21,40,99,2,3,0,0,0,1,1,1,40.0,19.8,19.0
24,68.0005,2,7,13,38,41,101,2,3,0,0,0,0,0,1,40.0,20.2,13.0
25,68.0005,3,13,21,24,38,99,2,3,0,0,1,0,0,0,40.0,19.8,21.0
26,68.0005,5,13,16,23,42,99,2,3,0,0,1,1,2,3,40.0,19.8,16.0
27,68.0005,4,9,11,37,40,101,2,3,0,0,0,1,2,3,40.0,20.2,11.0
28,68.0005,5,10,12,31,41,99,2,3,0,0,1,1,1,2,40.0,19.8,12.0
29,68.0005,5,15,17,28,34,99,2,3,0,0,1,0,0,0,40.0,19.8,17.0
30,67.501,8,10,18,25,37,98,3,2,0,0,1,1,1,2,40.0,19.6,18.0
31,67.501,8,11,20,27,36,102,3,2,0,0,0,0,1,1,40.0,20.4,20.0
32,67.501,3,11,20,30,34,98,3,2,0,0,1,0,2,2,40.0,19.6,20.0
33,67.501,8,17,19,24,34,102,3,2,0,0,1,0,0,0,40.0,20.4,19.0
34,67.501,9,11,18,26,38,102,3,2,0,0,1,0,1,2,40.0,20.4,18.0
35,67.501,4,12,20,31,35,102,3,2,0,0,0,1,1,1,40.0,20.4,20.0
36,67.501,3,14,16,28,41,102,3,2,0,0,0,1,1,1,40.0,20.4,16.0
37,67.501,3,6,22,30,41,102,3,2,0,0,0,1,2,2,40.0,20.4,22.0
38,67.501,2,5,23,30,42,102,3,2,0,0,1,0,2,3,40.0,20.4,23.0
39,67.501,2,10,12,33,41,98,3,2,0,0,1,0,0,1,40.0,19.6,12.0
40,67.501,4,10,15,32,41,102,3,2,0,0,0,0,0,1,40.0,20.4,15.0
41,67.501,2,19,23,28,30,102,3,2,0,0,0,0,2,2,40.0,20.4,23.0
42,67.501,4,18,20,27,33,102,3,2,0,0,0,0,0,0,40.0,20.4,20.0
43,67.501,8,13,17,22,42,102,3,2,0,0,1,1,1,2,40.0,20.4,17.0
44,67.501,3,10,14,33,42,102,3,2,0,0,1,0,0,2,40.0,20.4,14.0
45,67.501,5,10,20,26,37,98,3,2,0,0,1,0,0,1,40.0,19.6,20.0
46,67.501,8,14,17,21,38,98,3,2,0,0,1,0,0,0,40.0,19.6,17.0
47,67.501,1,14,20,25,42,102,3,2,0,0,0,1,1,2,40.0,20.4,20.0
48,67.501,4,13,21,30,34,102,3,2,0,0,1,0,1,1,40.0,20.4,21.0
49,67.501,4,7,12,34,41,98,3,2,0,0,1,0,0,1,40.0,19.6,12.0
50,67.501,1,6,18,35,42,102,3,2,0,0,0,0,0,1,40.0,20.4,18.0
51,67.501,5,14,18,29,36,102,3,2,0,0,0,0,0,1,40.0,20.4,18.0
52,67.0015,1,9,12,34,41,97,2,3,0,0,1,0,0,1,40.0,19.4,12.0
53,67.0015,2,11,22,27,35,97,2,3,0,0,1,1,2,2,40.0,19.4,22.0
