Rank,Score,Num1,Num2,Num3,Num4,Num5,Sum,Even,Odd,Seq2,Seq3,Mod,Dup1,Dup2,Dup3,r0,r1,r2,r3,r4,r5,r6,r7,Mean,Median
1,80.5,4,16,22,25,33,100,3,2,0,0,0,0,1,1,0,0,0,1,2,1,1,0,20.0,22.0
2,80.5,3,16,18,22,41,100,3,2,0,0,0,0,2,2,0,0,0,1,1,3,0,0,20.0,18.0
3,80.5,5,13,22,28,32,100,3,2,0,0,1,1,1,1,0,0,0,0,1,2,1,1,20.0,22.0
4,80.5,4,16,23,25,32,100,3,2,0,0,0,0,2,2,0,0,0,1,2,0,2,0,20.0,23.0
5,80.0005,4,13,18,23,41,99,2,3,0,0,1,0,2,2,0,0,0,2,0,2,1,0,19.8,18.0
6,80.0005,5,12,19,25,38,99,2,3,0,0,1,1,2,2,0,0,0,2,2,0,0,1,19.8,19.0
7,80.0005,7,12,19,25,38,101,2,3,0,0,0,1,2,2,0,0,0,2,2,0,0,1,20.2,19.0
8,80.0005,4,13,20,29,35,101,2,3,0,0,0,0,0,1,0,0,0,2,1,1,1,0,20.2,20.0
9,80.0005,3,13,22,28,35,101,2,3,0,0,1,0,0,0,0,0,0,0,1,3,0,1,20.2,22.0
10,80.0005,5,13,16,28,39,101,2,3,0,0,0,1,2,2,0,0,0,0,3,1,0,1,20.2,16.0
11,80.0005,5,12,20,25,39,101,2,3,0,0,1,1,1,1,0,0,0,2,3,0,0,0,20.2,20.0
12,80.0005,5,16,19,29,32,101,2,3,0,0,1,1,2,3,0,0,0,1,2,0,1,1,20.2,19.0
13,80.0005,3,16,19,29,32,99,2,3,0,0,1,0,1,2,0,0,0,1,1,1,1,1,19.8,19.0
14,80.0005,5,12,20,31,33,101,2,3,0,0,0,1,1,1,0,0,0,3,1,1,0,0,20.2,20.0
15,80.0005,3,12,18,29,37,99,2,3,0,0,0,0,1,2,0,0,0,3,0,1,1,0,19.8,18.0
16,80.0005,3,12,19,28,37,99,2,3,0,0,0,0,0,0,0,0,0,1,0,1,1,2,19.8,19.0
17,79.501,4,13,18,28,35,98,3,2,0,0,1,0,1,1,0,0,0,1,1,1,1,1,19.6,18.0
18,79.501,5,18,20,22,37,102,3,2,0,0,0,1,2,2,0,0,0,2,1,1,1,0,20.4,20.0
19,79.501,3,18,22,25,30,98,3,2,0,0,0,0,1,1,0,0,0,1,2,2,0,0,19.6,22.0
20,79.501,5,12,19,28,38,102,3,2,0,0,1,1,2,2,0,0,0,2,1,0,0,2,20.4,19.0
21,79.501,4,13,25,28,32,102,3,2,0,0,0,0,0,0,0,0,0,0,1,1,2,1,20.4,25.0
22,79.501,5,16,19,28,30,98,3,2,0,0,0,1,2,2,0,0,0,0,3,0,0,2,19.6,19.0
23,79.501,4,12,23,30,33,102,3,2,0,0,1,0,1,1,0,0,0,3,1,0,1,0,20.4,23.0
24,79.501,5,12,20,22,39,98,3,2,0,0,1,1,1,1,0,0,0,2,2,1,0,0,19.6,20.0
25,79.501,4,13,18,25,38,98,3,2,0,0,1,0,2,2,0,0,0,2,1,1,1,0,19.6,18.0
26,79.0015,7,16,20,29,31,103,2,3,0,0,0,1,2,3,0,0,0,2,2,1,0,0,20.6,20.0
27,79.0015,4,12,19,23,39,97,2,3,0,0,1,0,1,1,0,0,0,2,1,0,1,1,19.4,19.0
28,79.0015,3,19,22,28,31,103,2,3,0,0,0,0,0,0,0,0,0,0,0,3,0,2,20.6,22.0
29,79.0015,3,12,20,33,35,103,2,3,0,0,1,0,0,0,0,0,0,3,1,1,0,0,20.6,20.0
30,79.0015,3,12,20,31,37,103,2,3,0,0,0,0,0,0,0,0,0,2,0,2,1,0,20.6,20.0
31,79.0015,4,13,20,31,35,103,2,3,0,0,0,0,0,0,0,0,0,1,1,2,1,0,20.6,20.0
32,79.0015,3,12,19,29,40,103,2,3,0,0,1,1,1,2,0,0,0,2,1,1,0,1,20.6,19.0
33,78.502,4,12,16,23,41,96,3,2,0,0,0,0,2,2,0,0,0,2,1,1,1,0,19.2,16.0
34,78.502,5,12,18,20,41,96,3,2,0,0,0,1,2,2,0,0,0,3,1,1,0,0,19.2,18.0
35,78.502,4,12,20,25,35,96,3,2,0,0,1,0,0,0,0,0,0,2,2,0,1,0,19.2,20.0
36,78.502,4,12,20,31,37,104,3,2,0,0,0,0,0,0,0,0,0,2,0,1,2,0,20.8,20.0
37,78.502,4,16,20,25,39,104,3,2,0,0,0,0,1,1,0,0,0,1,3,0,1,0,20.8,20.0
38,78.502,3,18,20,25,38,104,3,2,0,0,1,0,2,2,0,0,0,3,1,1,0,0,20.8,20.0
39,78.502,7,12,18,28,31,96,3,2,0,0,1,1,2,2,0,0,0,2,1,1,0,1,19.2,18.0
40,78.502,3,12,20,32,37,104,3,2,0,0,1,0,0,0,0,0,0,2,0,1,2,0,20.8,20.0
